date,instrument_name,expiry_name,expiry_date,strike,type,volume,open_interest,rho,theta,vega,gamma,delta,bid_iv,ask_iv,mark_iv
2026-01-23T01:00:00.000000,BTC-25DEC26-140000-C,25DEC26,2026-12-25,140000.0,call,0.1,152.7,169.19521,-19.66395,286.05069,0.00001,0.24918,45.84,46.33,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-140000-P,25DEC26,2026-12-25,140000.0,put,0.0,0.2,-1120.5448,-19.66539,286.07169,0.00001,-0.7508,45.13,47.1,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-150000-C,25DEC26,2026-12-25,150000.0,call,4.0,597.6,139.49957,-17.4908,254.41743,0.00001,0.20259,45.89,46.45,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-150000-P,25DEC26,2026-12-25,150000.0,put,0.0,1.2,-1242.39998,-17.48934,254.39617,0.00001,-0.79743,45.1,47.5,46.23
2026-01-23T01:00:00.000000,BTC-25DEC26-160000-C,25DEC26,2026-12-25,160000.0,call,30.1,733.1,115.6213,-15.55844,224.92992,0.00001,0.16623,46.25,46.87,46.52
2026-01-23T01:00:00.000000,BTC-25DEC26-160000-P,25DEC26,2026-12-25,160000.0,put,0.0,0.1,-1358.38784,-15.55844,224.92992,0.00001,-0.83377,45.17,48.09,46.52
2026-01-23T01:00:00.000000,BTC-25DEC26-170000-C,25DEC26,2026-12-25,170000.0,call,0.0,81.3,95.9654,-13.75923,197.59666,0.00001,0.13683,46.61,47.09,46.83
2026-01-23T01:00:00.000000,BTC-25DEC26-170000-P,25DEC26,2026-12-25,170000.0,put,0.0,0.0,-1470.15704,-13.7606,197.61639,0.00001,-0.86316,45.16,48.94,46.83
2026-01-23T01:00:00.000000,BTC-25DEC26-180000-C,25DEC26,2026-12-25,180000.0,call,0.0,800.1,80.25277,-12.19501,173.60446,0.0,0.11368,46.99,47.53,47.24
2026-01-23T01:00:00.000000,BTC-25DEC26-180000-P,25DEC26,2026-12-25,180000.0,put,0.0,0.0,-1578.01819,-12.19372,173.58599,0.0,-0.88633,45.03,49.62,47.24
2026-01-23T01:00:00.000000,BTC-25DEC26-190000-C,25DEC26,2026-12-25,190000.0,call,0.4,150.7,67.11935,-10.74427,151.83993,0.0,0.09451,47.3,47.91,47.59
2026-01-23T01:00:00.000000,BTC-25DEC26-190000-P,25DEC26,2026-12-25,190000.0,put,0.0,0.0,-1683.26649,-10.74427,151.83993,0.0,-0.90549,32.16,54.84,47.59
2026-01-23T01:00:00.000000,BTC-25DEC26-200000-C,25DEC26,2026-12-25,200000.0,call,2.0,715.3,56.72986,-9.53234,133.45759,0.0,0.07953,47.69,48.4,48.04
2026-01-23T01:00:00.000000,BTC-25DEC26-200000-P,25DEC26,2026-12-25,200000.0,put,0.0,0.0,-1785.78155,-9.53234,133.45759,0.0,-0.92047,0.0,56.25,48.04
2026-01-23T01:00:00.000000,BTC-25DEC26-210000-C,25DEC26,2026-12-25,210000.0,call,0.0,80.1,48.17628,-8.46172,117.41583,0.0,0.06727,47.97,49.17,48.47
2026-01-23T01:00:00.000000,BTC-25DEC26-210000-P,25DEC26,2026-12-25,210000.0,put,0.0,0.0,-1886.46775,-8.46068,117.40144,0.0,-0.93274,0.0,57.93,48.47
2026-01-23T01:00:00.000000,BTC-25DEC26-220000-C,25DEC26,2026-12-25,220000.0,call,0.0,133.8,40.78232,-7.45508,102.76833,0.0,0.05671,48.23,49.15,48.79
